timestamp,q_w,q_x,q_y,q_z
1753485319654182,0.95637345,-0.23766078,0.04710121,0.16324428
1753485319664177,0.9563737,-0.2376586,0.047104765,0.16324522
1753485319674153,0.95637435,-0.23765641,0.047104236,0.16324458
1753485319684144,0.95637685,-0.23765002,0.04710636,0.16323839
1753485319694062,0.95637834,-0.23764896,0.047102515,0.16323242
1753485319704082,0.9563808,-0.23764752,0.04709349,0.16322266
1753485319714000,0.9563817,-0.23764758,0.047090303,0.16321887
1753485319727674,0.95638317,-0.23764287,0.047090348,0.16321681
1753485319733964,0.9563856,-0.23763351,0.047091085,0.16321588
1753485319743961,0.9563852,-0.23762918,0.04710673,0.16321968
1753485319758828,0.95638794,-0.2376178,0.047117747,0.16321717
1753485319768824,0.9563875,-0.23761815,0.047123294,0.16321759
1753485319778768,0.9563876,-0.23762329,0.047126297,0.16320886
1753485319788758,0.9563872,-0.23762697,0.047122188,0.16320646
1753485319798712,0.9563883,-0.23762412,0.047123186,0.16320463
1753485319812410,0.9563911,-0.23761366,0.04712291,0.16320294
1753485319818664,0.9563915,-0.23761056,0.047130357,0.16320296
1753485319832343,0.9563915,-0.23760743,0.04714146,0.16320497
1753485319833692,0.9563919,-0.23760611,0.047143057,0.16320394
1753485319848625,0.9563918,-0.2376111,0.04714333,0.16319683
1753485319858555,0.9563922,-0.23761615,0.047136843,0.16318883
1753485319868483,0.95639247,-0.23762038,0.047131516,0.16318335
1753485319878473,0.9563926,-0.23762135,0.04712983,0.16318114
1753485319888423,0.95639294,-0.23762104,0.047132723,0.16317953
1753485319897135,0.95639396,-0.23761556,0.047136575,0.16317949
1753485319908350,0.956393,-0.23762038,0.047143932,0.16317625
1753485319917108,0.9563932,-0.23762111,0.04714429,0.1631741
1753485319928292,0.9563921,-0.23762879,0.047141,0.16316968
1753485319938294,0.95639277,-0.23763229,0.047135573,0.16316308
1753485319948228,0.9563923,-0.23763566,0.047132116,0.16316167
1753485319958228,0.956392,-0.23764169,0.04712687,0.16315615
1753485319968207,0.9563905,-0.23764446,0.047135275,0.16315827
1753485319981930,0.9563909,-0.23764342,0.04713867,0.16315679
1753485319988152,0.95639145,-0.23763956,0.04714946,0.16315597
1753485320001857,0.95639277,-0.23763783,0.047153283,0.16314968
1753485320008086,0.95639324,-0.23763758,0.04715528,0.16314656
1753485320018146,0.95639455,-0.23763762,0.047153678,0.1631393
1753485320028001,0.95639455,-0.23764291,0.047148798,0.16313322
1753485320038020,0.95639575,-0.2376424,0.047155812,0.16312502
1753485320047926,0.95639765,-0.23763649,0.047160234,0.16312116
1753485320057870,0.9563992,-0.23762706,0.04716838,0.16312322
1753485320067875,0.95640016,-0.23762164,0.04717363,0.16312416
1753485320077847,0.9564006,-0.23762102,0.04717565,0.16312163
1753485320086528,0.9564012,-0.23762192,0.04717413,0.16311745
1753485320097749,0.9564032,-0.23762596,0.047165975,0.16310206
1753485320106489,0.9564036,-0.23762828,0.04716319,0.16309658
1753485320117685,0.9564037,-0.23763165,0.04716232,0.16309229
1753485320127673,0.95640355,-0.23762919,0.047166664,0.16309474
1753485320137716,0.95640284,-0.23762798,0.047174864,0.16309859
1753485320147607,0.9564016,-0.23763199,0.04717995,0.16309889
1753485320157565,0.95640105,-0.23763718,0.04717847,0.16309457
1753485320167547,0.956402,-0.23764353,0.047167044,0.16308306
1753485320177494,0.9564035,-0.2376497,0.047152817,0.16306993
1753485320191195,0.95640326,-0.23765464,0.04714776,0.163065
1753485320197455,0.9564036,-0.23765329,0.047150813,0.16306427
1753485320207465,0.9564055,-0.23764473,0.04715241,0.16306444
1753485320217407,0.95640653,-0.23764083,0.047158547,0.1630629
1753485320227338,0.95640814,-0.23764002,0.04716135,0.16305402
1753485320237301,0.9564073,-0.23764795,0.04716088,0.16304769
1753485320247305,0.95640707,-0.23765388,0.04715673,0.16304114
1753485320257261,0.9564076,-0.23765384,0.047156364,0.16303824
1753485320267203,0.9564093,-0.23764974,0.0471599,0.16303328
1753485320275969,0.95640993,-0.23764712,0.047161106,0.16303359
1753485320287167,0.9564119,-0.23763955,0.047172803,0.16302958
1753485320297126,0.95641243,-0.23763645,0.047184024,0.16302714
1753485320302121,0.9564138,-0.23763287,0.047186337,0.16302414
1753485320317070,0.9564147,-0.23762888,0.0471919,0.1630229
1753485320327026,0.9564159,-0.23762561,0.047191847,0.16302074
1753485320337007,0.9564169,-0.23762673,0.047193445,0.1630126
1753485320346959,0.95641786,-0.2376272,0.047192194,0.16300638
1753485320360658,0.956418,-0.23763052,0.047200657,0.16299859
1753485320366924,0.9564196,-0.23763038,0.04720218,0.16298887
1753485320380611,0.9564194,-0.23763207,0.04720367,0.16298687
1753485320386874,0.9564196,-0.23762757,0.047203075,0.16299257
1753485320396902,0.9564196,-0.23762868,0.04720238,0.1629914
1753485320406766,0.95642036,-0.23763047,0.04720247,0.16298404
1753485320416741,0.9564195,-0.23764078,0.047193687,0.1629768
1753485320426726,0.95641977,-0.23764531,0.04718991,0.16296965
1753485320436661,0.95641994,-0.23764801,0.04718643,0.16296594
1753485320445419,0.95641965,-0.23764844,0.047186334,0.16296713
1753485320456608,0.95642126,-0.23764011,0.0471839,0.16297048
1753485320465321,0.9564217,-0.23763822,0.04718473,0.16297047
1753485320476555,0.95642316,-0.23763408,0.047191355,0.16296622
1753485320486551,0.9564223,-0.23764195,0.04719241,0.16295856
1753485320496519,0.95642185,-0.23765169,0.047185466,0.16294925
1753485320506520,0.9564224,-0.23765764,0.047179498,0.16293997
1753485320516443,0.95642346,-0.23765714,0.047177896,0.1629341
1753485320526459,0.956424,-0.23765378,0.047183413,0.16293421
1753485320536373,0.9564241,-0.2376502,0.047191784,0.16293663
1753485320541372,0.956425,-0.23764406,0.04719724,0.16293824
1753485320556341,0.9564246,-0.23764326,0.047216058,0.16293684
1753485320570035,0.9564245,-0.23764919,0.047218926,0.16292776
1753485320576243,0.95642585,-0.23765211,0.047212694,0.16291708
1753485320586267,0.9564272,-0.23765078,0.047208924,0.16291228
1753485320596155,0.9564285,-0.23764612,0.04721436,0.16290963
1753485320606179,0.9564285,-0.23764345,0.047222085,0.16291146
1753485320616100,0.9564285,-0.23764049,0.04723008,0.16291411
1753485320626067,0.9564288,-0.23763812,0.047239713,0.16291246
1753485320631079,0.956428,-0.23764096,0.047242288,0.16291265
